persoonskenmerken,bevolking_12_jaar_of_ouder,geregistreerd_in_donorregister,toestemming_zonder_donatiebeperkingen,toestemming_met_donatiebeperkingen,geen_toestemming,nabestaanden_beslissen,aangewezen_persoon_beslist,niet_geregistreerd_in_donorregister
,x_1_000,x_1_000,x_1_000,x_1_000,x_1_000,x_1_000,x_1_000,x_1_000
totale_bevolking_van_12_jaar_en_ouder,14898,6058,2889,751,1708,608,101,8840
geslacht:_mannen,7356,2748,1356,255,804,287,46,4608
geslacht:_vrouwen,7542,3310,1533,496,904,322,55,4232
leeftijd:_12_tot_18_jaar,1224,19,10,4,4,1,0,1205
leeftijd:_18_tot_20_jaar,413,76,37,18,16,4,0,337
leeftijd:_20_tot_30_jaar,2155,805,353,191,191,64,6,1350
leeftijd:_30_tot_40_jaar,2049,930,392,170,253,101,13,1119
leeftijd:_40_tot_50_jaar,2356,1114,551,143,269,123,28,1242
leeftijd:_50_tot_60_jaar,2473,1205,638,107,302,128,29,1268
leeftijd:_60_tot_70_jaar,2084,1014,520,69,297,111,17,1070
leeftijd:_70_tot_80_jaar,1380,587,277,34,214,55,6,793
leeftijd:_80_jaar_of_ouder,764,309,110,14,162,21,2,455
herkomst:_autochtoon,11606,5285,2622,677,1350,546,90,6321	
herkomst:_allochtoon,3291,773,266,74,358,62,11,2519
herkomst:_turkije,340,47,4,2,38,2,0,293
herkomst:_marokko,307,60,1,1,57,1,0,248
herkomst:_suriname,312,67,13,7,42,5,1,245
herkomst:_nederlandse_antillen_of_aruba,127,25,8,4,10,2,0,102
herkomst:_niet-westerse_allochtoon,1786,299,53,24,201,18,3,1487
herkomst:_westerse_allochtoon,1506,474,214,51,157,44,8,1032
"herkomst:_allochtoon,_1e_generatie",1917,335,92,24,191,24,5,1582
"herkomst:_allochtoon,_2e_generatie",1375,438,175,51,167,39,7,937
